symptoms,sentence
facial pain,The patient reports facial pain and numbness.
fainting,She fainting suddenly and has been feeling weak ever since.
fatigue,The patient reports fatigue and lack of energy.
fears and phobias,She has intense fears and phobias that interfere with daily life.
feeling cold,The patient complains of feeling cold even in warm weather.
feeling hot,He reports feeling hot and sweating excessively.
feeling ill,The patient has been feeling ill and unable to work.
fever,"She has a fever and chills, possibly due to an infection."
finger cramps,The patient reports finger cramps when typing.
finger lump,He found a finger lump that appeared overnight.
finger pain,She complains of finger pain after playing the piano.
finger stiffness,The patient has finger stiffness in the mornings.
finger swelling,He has been experiencing finger swelling and difficulty bending them.
finger weakness,She has finger weakness and can't grip objects firmly.
flaky scalp,The patient is dealing with a flaky scalp and itching.
flatulence,He reports excessive flatulence and abdominal discomfort.
flu-like syndrome,She has flu-like syndrome and is resting at home.
fluid in ear,The doctor found fluid in ear and prescribed medication.
fluid retention,She is suffering from fluid retention in her legs.
flushing,The patient experienced flushing after drinking alcohol.
focal weakness,He has focal weakness in his left arm.
foot,The patient reports pain in the foot when walking.
foot looks infected,His foot looks infected and needs antibiotics.
foreign body sensation in eye,She feels a foreign body sensation in eye and can't stop blinking.
frequent menstruation,The patient has frequent menstruation and irregular cycles.
frequent urination,He complains of frequent urination and increased thirst.
frontal headache,She has been experiencing a frontal headache for several hours.
groin mass,The doctor found a groin mass during the examination.
groin pain,He has groin pain that worsens with movement.
gum pain,The patient reports gum pain after eating.
hallucinations,She is experiencing hallucinations and confusion.
hand,The patient has hand pain and swelling.
hand looks infected,Her hand looks infected and needs immediate treatment.
headache,He is suffering from a severe headache and nausea.
heartburn,The patient complains of heartburn after eating spicy foods.
heavy menstrual flow,She has been experiencing heavy menstrual flow and cramping.
hemoptysis,The patient has hemoptysis and needs further investigation.
hesitancy,He reports hesitancy when urinating and discomfort.
hip pain,The patient is dealing with hip pain and limited mobility.
hip stiffness,She has hip stiffness that affects her walking.
hoarse voice,The patient reports a hoarse voice and difficulty speaking.
hostile behavior,He has been exhibiting hostile behavior towards others.
hot flashes,She is experiencing hot flashes and night sweats.
hurts to breath,The patient complains that it hurts to breath deeply.
hysterical behavior,She has been showing signs of hysterical behavior and panic attacks.
impotence,He is concerned about impotence and seeks treatment.
incontinence of stool,The patient reports incontinence of stool and embarrassment.
increased heart rate,She has an increased heart rate and palpitations.
infant feeding problem,The infant has an infant feeding problem and needs a specialist.
infant spitting up,The baby is experiencing infant spitting up after feedings.
infertility,The couple is facing infertility issues and seeking advice.
insomnia,She has been dealing with insomnia and fatigue.
intermenstrual bleeding,The patient reports intermenstrual bleeding and irregular cycles.
involuntary urination,He is struggling with involuntary urination and embarrassment.
irregular appearing nails,The patient has irregular appearing nails and seeks a dermatologist.
irregular appearing scalp,She reports irregular appearing scalp and hair loss.
irregular belly button,The baby has an irregular belly button and needs further evaluation.
irregular heartbeat,The patient is experiencing irregular heartbeat and palpitations.
irritability,She has been feeling irritability and mood swings.
irritable infant,The baby is extremely irritable infant and cries constantly.
itchiness of eye,The patient reports itchiness of eye and redness.
itching of scrotum,He has been experiencing itching of scrotum and discomfort.
itching of skin,The patient complains of itching of skin and rash.
itching of the anus,She reports itching of the anus and seeks relief.
itchy ear(s),The patient has itchy ear(s) and fluid discharge.
itchy eyelid,He is experiencing itchy eyelid and swelling.
itchy scalp,The patient reports itchy scalp and dandruff.
jaundice,The doctor noted jaundice in the patient's eyes.
jaw swelling,She has been dealing with jaw swelling and pain.
joint pain,The patient complains of joint pain in his knees.
joint swelling,She has been experiencing joint swelling in her fingers.
kidney mass,The doctor found a kidney mass during the scan.
knee lump,He noticed a knee lump that appeared suddenly.
knee pain,The patient reports knee pain when walking.
knee stiffness,She has been experiencing knee stiffness after sitting.
knee swelling,He has knee swelling and difficulty bending his leg.
knee weakness,The patient has knee weakness and falls frequently.
knock-kneed,The child is knock-kneed and may need corrective treatment.
lack of growth,The pediatrician is concerned about the child's lack of growth.
lacrimation,The patient has lacrimation and constant tearing.
late onset of menopause,She is experiencing late onset of menopause and symptoms.
leg cramps,The patient reports leg cramps during the night.
leg lump,He found a leg lump that needs further investigation.
leg pain,She has been dealing with leg pain and swelling.
leg stiffness,The patient reports leg stiffness in the mornings.
leg swelling,He has leg swelling and difficulty walking.
leg weakness,She is experiencing leg weakness and falls frequently.
lip sore,The patient has a painful lip sore that won't heal.
lip swelling,He reports lip swelling after eating shellfish.
long menstrual periods,The patient has long menstrual periods and severe cramps.
loss of sensation,She has been dealing with a loss of sensation in her hands.
loss of sex drive,The patient complains of loss of sex drive and relationship issues.
low back cramps,She has low back cramps and difficulty standing up.
low back pain,He reports low back pain after lifting heavy objects.
low back weakness,The patient has low back weakness and can't stand for long.
low self-esteem,She is struggling with low self-esteem and seeks counseling.
low urine output,The patient has low urine output and feels dehydrated.
lower abdominal pain,She is experiencing lower abdominal pain and bloating.
lower body pain,The patient reports lower body pain and weakness.
lump,He found a lump in his neck that needs further examination.
lump in throat,The patient complains of a lump in throat and difficulty swallowing.
lymphedema,She has lymphedema in her arms and seeks treatment.
mass,The doctor found a mass in the patient's abdomen.
mass in scrotum,The patient reports a mass in scrotum and discomfort.
mass of breast,She has been diagnosed with a mass of breast and referred to a specialist.
mass on eyelid,The patient has a noticeable mass on eyelid and seeks treatment.
melena,He reports melena and needs further investigation.
mouth dryness,The patient has mouth dryness and difficulty speaking.
mouth pain,She complains of mouth pain after dental surgery.
mouth ulcer,The patient has a mouth ulcer that won't heal.
muscle cramps,He is experiencing muscle cramps after exercise.
muscle pain,The patient reports muscle pain in his shoulders.
muscle stiffness,She has been dealing with muscle stiffness in her neck.
muscle swelling,The patient has muscle swelling and pain in his legs.
muscle weakness,He reports muscle weakness and difficulty lifting objects.
nasal congestion,The patient complains of nasal congestion and difficulty breathing.
nausea,She is experiencing nausea and vomiting after meals.
neck cramps,The patient reports neck cramps and stiffness.
neck mass,The doctor found a neck mass during the examination.
neck pain,He has been experiencing neck pain after a car accident.
neck stiffness,The patient has neck stiffness and difficulty turning his head.
neck swelling,She complains of neck swelling and discomfort.
nightmares,The child has been having nightmares and trouble sleeping.
nosebleed,The patient reports a nosebleed that won't stop.
obsessions and compulsions,She has been struggling with obsessions and compulsions.
odor to urine,The doctor noticed an odor to urine and recommended tests.
pain,The patient complains of pain in his lower back.
pain during intercourse,She reports pain during intercourse and seeks advice.
pain during pregnancy,The patient has pain during pregnancy and needs monitoring.
pain in eye,He complains of pain in eye after getting dust in it.
pain in gums,The patient has pain in gums and swelling.
pain in testicles,He reports pain in testicles after the injury.
pain of the anus,The patient complains of pain of the anus and bleeding.
painful menstruation,She has been experiencing painful menstruation and cramps.
painful sinuses,The patient reports painful sinuses and congestion.
painful urination,He has been dealing with painful urination and seeks treatment.
palpitations,The patient complains of palpitations and shortness of breath.
paresthesia,She has been experiencing paresthesia in her hands.
peeling,The patient reports peeling skin on his feet.
pelvic pain,She complains of pelvic pain and pressure.
pelvic pressure,The patient reports pelvic pressure and discomfort.
penile discharge,He has been experiencing penile discharge and pain.
penis pain,The patient reports penis pain and redness.
penis redness,He has been dealing with penis redness and irritation.
peripheral edema,The patient complains of peripheral edema and swelling.
pimples,She has developed pimples on her face and back.
plugged feeling in ear,The patient reports a plugged feeling in ear and hearing loss.
poor circulation,He is struggling with poor circulation in his legs.
postpartum problems of the breast,The patient has postpartum problems of the breast and seeks advice.
premature ejaculation,He is experiencing premature ejaculation and relationship issues.
premenstrual tension,She reports premenstrual tension and mood swings.
problems during pregnancy,The doctor is monitoring her for problems during pregnancy.
problems with movement,The patient complains of problems with movement and coordination.
problems with shape,She is experiencing problems with shape and symmetry.
psychotic symptoms,The patient is showing signs of psychotic symptoms and needs care.
pulling at ears,The child keeps pulling at ears and crying.
pus draining from ear,The patient has pus draining from ear and pain.
rash,She developed a rash on her arms and legs.
recent pregnancy,The patient has been feeling unwell since her recent pregnancy.
recent weight loss,He reports recent weight loss and fatigue.
rectal bleeding,The patient has rectal bleeding and needs a colonoscopy.
red tonsils,She noticed red tonsils and difficulty swallowing.
redness in,The patient complains of redness in his eyes.
redness in ear,He has redness in ear and pain.
regurgitation,The patient reports regurgitation after eating.
regurgitation.1,She has been experiencing regurgitation.1 after meals.
restlessness,The patient is dealing with restlessness and insomnia.
retention of urine,He reports retention of urine and discomfort.
rib pain,The patient complains of rib pain after falling.
ringing in ear,She has been experiencing ringing in ear and hearing loss.
roughness,The patient reports roughness and dryness on his skin.
scaliness,She has scaliness on her scalp and seeks treatment.
scanty menstrual flow,The patient reports scanty menstrual flow and irregular periods.
seizures,He has been experiencing seizures and needs medication.
sharp abdominal pain,The patient complains of sharp abdominal pain and vomiting.
sharp chest pain,She reports sharp chest pain and difficulty breathing.
shortness of breath,The patient is experiencing shortness of breath and wheezing.
shoulder lump,He noticed a shoulder lump that appeared suddenly.
shoulder pain,The patient complains of shoulder pain and limited movement.
shoulder stiffness,She has shoulder stiffness after exercising.
shoulder swelling,The patient reports shoulder swelling and pain.
shoulder weakness,He has shoulder weakness and can't lift his arm.
side pain,The patient complains of side pain and tenderness.
sinus congestion,She has sinus congestion and headaches.
size of breast,The patient is concerned about the size of breast lump.
skin dryness,She reports skin dryness and flakiness.
skin growth,The doctor noted a skin growth on the patient's back.
skin irritation,The patient has skin irritation and redness.
skin lesion,She complains of a skin lesion on her arm.
skin moles,The doctor removed several skin moles from the patient's back.
skin on arm,He has skin on arm that is dry and cracked.
skin on leg,The patient reports skin on leg is itchy and swollen.
skin pain,She has been dealing with skin pain after the burn.
skin rash,The patient complains of a skin rash and itching.
skin swelling,He has skin swelling and redness on his hands.
sleepiness,The patient feels sleepiness and fatigue during the day.
slurring words,She reports slurring words and difficulty speaking.
smoking problems,The patient is dealing with smoking problems and wants to quit.
sneezing,He has been sneezing frequently and has a runny nose.
sore in nose,The patient complains of a sore in nose that won't heal.
sore throat,She has been experiencing a sore throat and hoarseness.
soreness of breast,The patient reports soreness of breast and swelling.
spasms,He is experiencing spasms in his back muscles.
spots,The patient has spots on her skin that are concerning.
spotting,She reports spotting between periods and seeks advice.
stiffness all over,The patient complains of stiffness all over and joint pain.
stings,He has been dealing with stings from insect bites.
stomach bloating,The patient reports stomach bloating after eating.
suprapubic pain,She complains of suprapubic pain and discomfort.
sweating,The patient has been experiencing sweating and chills.
swelling around the anus,He reports swelling around the anus and pain.
swelling of scrotum,The patient has swelling of scrotum and seeks treatment.
swollen,She complains of swollen legs and ankles.
swollen abdomen,The patient reports a swollen abdomen and discomfort.
swollen eye,He has a swollen eye and vision problems.
swollen lymph nodes,The patient has swollen lymph nodes in her neck.
symptoms of bladder,He reports symptoms of bladder infection and seeks relief.
symptoms of eye,The patient complains of symptoms of eye infection.
symptoms of infants,She is concerned about her baby's symptoms of infants.
symptoms of prostate,The patient reports symptoms of prostate problems.
symptoms of the face,He has been dealing with symptoms of the face and seeks advice.
symptoms of the kidneys,The patient reports symptoms of the kidneys and needs tests.
symptoms of the scrotum and testes,She complains of symptoms of the scrotum and testes.
temper problems,The child has been having temper problems at school.
thirst,The patient reports thirst and frequent urination.
throat feels tight,She complains that her throat feels tight and sore.
throat redness,The patient reports throat redness and irritation.
throat swelling,He has been experiencing throat swelling and difficulty breathing.
tightness,The patient reports a feeling of tightness in his chest.
toe lump,She has a toe lump that appeared suddenly.
toe pain,The patient reports toe pain and swelling.
toe stiffness,He has been dealing with toe stiffness after the injury.
toe swelling,The patient has toe swelling and difficulty walking.
toe weakness,She complains of toe weakness and falls frequently.
tongue lesions,The patient has tongue lesions and pain.
too little hair,He is concerned about having too little hair and seeks treatment.
toothache,The patient reports a toothache and sensitivity.
unpredictable menstruation,She complains of unpredictable menstruation and irregular cycles.
unusual color,The doctor noted an unusual color in the patient's eyes.
unwanted hair,She is experiencing unwanted hair growth and seeks advice.
upper abdominal pain,The patient reports upper abdominal pain after eating.
uterine contractions,She complains of uterine contractions and seeks advice.
vaginal bleeding after menopause,The patient reports vaginal bleeding after menopause and seeks help.
vaginal discharge,She has been dealing with vaginal discharge and itching.
vaginal dryness,The patient complains of vaginal dryness and discomfort.
vaginal itching,She reports vaginal itching and irritation.
vaginal pain,The patient has been experiencing vaginal pain during intercourse.
vaginal redness,She complains of vaginal redness and swelling.
vomiting,The patient has been experiencing vomiting after meals.
vomiting blood,He reports vomiting blood and needs immediate care.
vulvar irritation,The patient complains of vulvar irritation and itching.
vulvar sore,She has developed a vulvar sore and seeks treatment.
warts,The doctor noted warts on the patient's hands.
weakness,The patient reports weakness and fatigue.
weight gain,She has been experiencing weight gain and swelling.
wheezing,The patient complains of wheezing and shortness of breath.
white discharge from eye,He has white discharge from eye and seeks treatment.
wrinkles on skin,The patient is concerned about wrinkles on skin and seeks advice.
wrist lump,She reports a wrist lump that appeared suddenly.
wrist pain,The patient complains of wrist pain and stiffness.
wrist stiffness,He has wrist stiffness and limited movement.
wrist swelling,The patient reports wrist swelling after the injury.
wrist weakness,She complains of wrist weakness and difficulty lifting objects.
abdominal distention and back pain,The patient is experiencing abdominal distention along with persistent back pain.
acne and abnormal appearing skin,She has developed acne and notices abnormal appearing skin around her face.
ankle pain and swelling,He reports significant ankle pain accompanied by noticeable swelling.
apnea and fatigue,The patient suffers from apnea and feels excessively fatigued during the day.
arm lump and arm pain,She has a arm lump and is experiencing associated arm pain.
anxiety and difficulty sleeping,The patient is dealing with anxiety and has difficulty sleeping at night.
bleeding gums and bleeding from ear,He is experiencing bleeding gums and also notices bleeding from ear.
burning chest pain and shortness of breath,She reports burning chest pain along with episodes of shortness of breath.
cloudy eye and decreased vision,The patient has a cloudy eye and has noticed a decreased vision.
constipation and abdominal distention,"He is suffering from constipation, which is causing abdominal distention."
coughing up sputum and chest tightness,She is coughing up sputum and feels chest tightness.
depressed mood and loss of appetite,The patient is experiencing a depressed mood and a noticeable loss of appetite.
diarrhea and abdominal cramps,He has been having diarrhea along with frequent abdominal cramps.
difficulty swallowing and sore throat,She reports difficulty swallowing and has a persistent sore throat.
dizziness and blurred vision,The patient feels dizziness and is experiencing blurred vision.
ear pain and fluid retention,He is suffering from ear pain and has noticed fluid retention in the ear area.
fever and muscle aches,The patient has a fever accompanied by widespread muscle aches.
itching of skin and rash,She has itching of skin and has developed a rash.
jaw swelling and facial pain,The patient has jaw swelling and is also experiencing facial pain.
knee pain and knee swelling,He is dealing with knee pain and knee swelling in the joint.
lump in throat and difficulty breathing,She feels a lump in throat and is having difficulty breathing.
muscle cramps and weakness,The patient is suffering from muscle cramps and general muscle weakness.
nausea and vomiting,He experiences frequent nausea and episodes of vomiting.
neck pain and neck stiffness,She has neck pain along with noticeable neck stiffness.
painful menstruation and heavy menstrual flow,The patient is experiencing painful menstruation with heavy menstrual flow.
pain in testicles and swelling of scrotum,He reports pain in testicles and swelling of scrotum.
rash and itchy scalp,The patient has developed a rash and is experiencing an itchy scalp.
redness in ear and ear pain,She notices redness in ear and is also feeling ear pain.
shortness of breath and wheezing,The patient is experiencing shortness of breath and a wheezing sound when breathing.
skin rash and itchy eyelid,He has a skin rash and is dealing with an itchy eyelid.
swelling of scrotum and pain during intercourse,The patient has swelling of scrotum and pain during intercourse.
vomiting blood and abdominal pain,She is experiencing vomiting blood along with sharp abdominal pain.
weight gain and fluid retention,The patient has noticed weight gain and is also experiencing fluid retention.
wrist pain and wrist swelling,He has wrist pain and wrist swelling.
yellowing of skin and itching,The patient has yellowing of skin and is experiencing itching.
constipation and back cramps,She has constipation along with painful back cramps.
ear pain and discharge from ear,He is experiencing ear pain and has discharge from ear.
fever and joint pain,The patient is suffering from a fever and is experiencing joint pain.
lump on eyelid and eye redness,She has a lump on eyelid and is noticing eye redness.
muscle stiffness and joint swelling,The patient is dealing with muscle stiffness and joint swelling.
painful urination and blood in urine,He is experiencing painful urination and has noticed blood in urine.
persistent cough and congestion in chest,She has a persistent cough along with congestion in chest.
swelling of ankle and ankle weakness,The patient is dealing with swelling of ankle and ankle weakness.
itchiness of the anus and rash,He has itchiness of the anus and a rash around the area.
jaundice and abdominal pain,The patient has jaundice and is experiencing abdominal pain.
nausea and frequent urination,She is feeling nausea and has an increased frequent urination.
pain during pregnancy and vaginal bleeding,The patient is experiencing pain during pregnancy along with vaginal bleeding.
redness in eye and eye burns,He has redness in eye and is feeling eye burns.
skin irritation and flaky scalp,She is dealing with skin irritation and a flaky scalp.
shortness of breath and chest tightness,The patient experiences shortness of breath and feels chest tightness.
"abdominal distention, constipation, and back pain","The patient is experiencing abdominal distention, constipation, and persistent back pain."
"ankle pain, swelling, and weakness","She reports significant ankle pain, swelling, and weakness."
"arm lump, arm pain, and arm swelling","He has a arm lump, accompanied by arm pain and arm swelling."
"anxiety, depression, and insomnia","The patient is dealing with anxiety, depression, and insomnia."
"bleeding gums, bleeding from ear, and sore throat","She is experiencing bleeding gums, bleeding from ear, and a persistent sore throat."
"burning chest pain, shortness of breath, and cough","The patient reports burning chest pain, shortness of breath, and a persistent cough."
"cloudy eye, decreased vision, and eye redness","He has a cloudy eye, decreased vision, and noticeable eye redness."
"constipation, abdominal distention, and flatulence","She is suffering from constipation, abdominal distention, and excessive flatulence."
"coughing up sputum, chest tightness, and wheezing","The patient is coughing up sputum, feels chest tightness, and has episodes of wheezing."
"depressed mood, loss of appetite, and fatigue","He is experiencing a depressed mood, loss of appetite, and persistent fatigue."
"diarrhea, abdominal cramps, and dehydration","She has diarrhea, frequent abdominal cramps, and is at risk of dehydration."
"difficulty swallowing, sore throat, and hoarse voice","The patient reports difficulty swallowing, a sore throat, and a hoarse voice."
"dizziness, blurred vision, and headache","He feels dizziness, has blurred vision, and is suffering from a headache."
"ear pain, fluid retention, and diminished hearing","She is suffering from ear pain, fluid retention in the ear, and diminished hearing."
"fever, muscle aches, and chills","The patient has a fever, muscle aches, and is experiencing chills."
"itching of skin, rash, and redness","He has itching of skin, a rash, and noticeable redness."
"jaw swelling, facial pain, and difficulty chewing","The patient has jaw swelling, facial pain, and difficulty chewing."
"knee pain, knee swelling, and knee stiffness","She is dealing with knee pain, knee swelling, and knee stiffness in the joint."
"lump in throat, difficulty breathing, and cough","He feels a lump in throat, is having difficulty breathing, and has a persistent cough."
"muscle cramps, weakness, and spasms","The patient is suffering from muscle cramps, general weakness, and spasms."
"nausea, vomiting, and abdominal pain","She experiences nausea, vomiting, and sharp abdominal pain."
"neck pain, neck stiffness, and neck swelling","The patient has neck pain, noticeable neck stiffness, and neck swelling."
"painful menstruation, heavy menstrual flow, and blood clots during menstrual periods","She is experiencing painful menstruation, heavy menstrual flow, and blood clots during menstrual periods."
"pain in testicles, swelling of scrotum, and itching of scrotum","He reports pain in testicles, swelling of scrotum, and itching of scrotum."
"rash, itchy scalp, and peeling","The patient has developed a rash, an itchy scalp, and peeling skin."
"redness in ear, ear pain, and discharge from ear","She notices redness in ear, ear pain, and discharge from ear."
"shortness of breath, wheezing, and chest tightness","The patient is experiencing shortness of breath, wheezing, and chest tightness."
"skin rash, itchy eyelid, and dry lips","He has a skin rash, an itchy eyelid, and dry lips."
"swelling of scrotum, pain during intercourse, and penile discharge","The patient has swelling of scrotum, pain during intercourse, and penile discharge."
"vomiting blood, abdominal pain, and dizziness","She is experiencing vomiting blood, sharp abdominal pain, and dizziness."
"weight gain, fluid retention, and swelling of limbs","The patient has noticed weight gain, fluid retention, and swelling of limbs."
"wrist pain, wrist swelling, and wrist stiffness","He has wrist pain, accompanied by wrist swelling and wrist stiffness."
"yellowing of skin, itching, and fatigue","The patient has yellowing of skin, itching, and feels excessive fatigue."
"constipation, back cramps, and lower abdominal pain","She has constipation, painful back cramps, and lower abdominal pain."
"ear pain, discharge from ear, and diminished hearing","He is experiencing ear pain, discharge from ear, and diminished hearing."
"fever, joint pain, and swollen lymph nodes","The patient is suffering from a fever, joint pain, and swollen lymph nodes."
"lump on eyelid, eye redness, and eye burns","She has a lump on eyelid, eye redness, and eye burns."
"muscle stiffness, joint swelling, and muscle pain","The patient is dealing with muscle stiffness, joint swelling, and muscle pain."
"painful urination, blood in urine, and abdominal pain","He is experiencing painful urination, has noticed blood in urine, and sharp abdominal pain."
"persistent cough, congestion in chest, and shortness of breath","She has a persistent cough, congestion in chest, and shortness of breath."
"swelling of ankle, ankle weakness, and pain","The patient is dealing with swelling of ankle, ankle weakness, and pain."
"itchiness of the anus, rash, and discomfort","He has itchiness of the anus, a rash, and general discomfort."
"jaundice, abdominal pain, and fatigue","The patient has jaundice, abdominal pain, and feels excessive fatigue."
"nausea, frequent urination, and lower abdominal pain","She is feeling nausea, has an increased frequent urination, and lower abdominal pain."
"pain during pregnancy, vaginal bleeding, and lower back pain","The patient is experiencing pain during pregnancy, vaginal bleeding, and lower back pain."
"redness in eye, eye burns, and blurred vision","He has redness in eye, eye burns, and blurred vision."
"skin irritation, flaky scalp, and itching","She is dealing with skin irritation, a flaky scalp, and persistent itching."
"shortness of breath, chest tightness, and cough","The patient experiences shortness of breath, chest tightness, and a persistent cough."
"toe pain, toe swelling, and toe stiffness","He has toe pain, accompanied by toe swelling and toe stiffness."
"upper abdominal pain, nausea, and vomiting","She is experiencing upper abdominal pain, nausea, and frequent vomiting."
